id,roi,method,ref,populations,ecotypes,caption,caption_alt,qtl_trait,qtl_trait_alt,qtl_functioncat1,qtl_cat,qtl_pve,candidate_gene,candidate_gene_long,candidate_gene_ensembl,candidate_region,candidate_function,remarks,GLA_chr_start,GLA_pos_start,GLA_chr_end,GLA_pos_end,GLA_chr_regstart,pos_regstart_GLA,GLA_chr_regend,GLA_pos_regend,GLA_overlap_definition,GLA_chr_ovstart,GLA_pos_ovstart,GLA_chr_ovend,GLA_pos_ovend,GLA_masked
723,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Anterioventral extent of preopercular (y),Anterioventral extent of preopercular (y),feeding,body shape,13.10,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
724,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Posterior extent of premaxilla (y),Posterior extent of premaxilla (y),feeding,body shape,5.10,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
725,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Anterior extent of nasal (y),Anterior extent of nasal (y),feeding,body shape,9.00,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
726,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Lachrymal at nasal capsule (y),Lachrymal at nasal capsule (y),feeding,body shape,6.80,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
727,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,eyeshape,eye shape,body shape:Anterior extent of orbit (y),Anterior extent of orbit (y),shoaling,body shape,15.90,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
728,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Posterior extent of supraoccipital (y),Posterior extent of supraoccipital (y),feeding,body shape,23.70,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
729,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (defense),body shape:Anterior insertion of first dorsal spine (y),Anterior insertion of first dorsal spine (y),defence,body shape,11.00,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
730,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (swimming),body shape:Posterior insertion of dorsal fin (y),Posterior insertion of dorsal fin (y),swimming,body shape,8.50,IDH1,,ENSGACG00000009167,,,"Danio rerio predicted gene, Tab. S1",chrXVI,16515080,chrXVI,16510584,,,,,associated marker ± 1 Mb,chrXVI,15510584,chrXVI,17515080,
731,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (swimming),body shape:Posterior extent of caudal peduncle (x),Posterior extent of caudal peduncle (x),swimming,body shape,8.20,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXX,11260847,chrXX,11260235,,,,,associated marker ± 1 Mb,chrXX,10260235,chrXX,12260847,
732,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (defense),body shape:Posterior extent of ectocorocoid (x),Posterior extent of ectocorocoid (x),defence,body shape,7.80,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXX,11260847,chrXX,11260235,,,,,associated marker ± 1 Mb,chrXX,10260235,chrXX,12260847,
733,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Ventral extent of operculum (x),Ventral extent of operculum (x),feeding,body shape,5.30,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXX,11260847,chrXX,11260235,,,,,associated marker ± 1 Mb,chrXX,10260235,chrXX,12260847,
734,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (defense),body shape:Anterior insertion of first dorsal spine (x),Anterior insertion of first dorsal spine (x),defence,body shape,4.80,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXX,11260847,chrXX,11260235,,,,,associated marker ± 1 Mb,chrXX,10260235,chrXX,12260847,
735,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (swimming),body shape:Posterior insertion of dorsal fin (x),Posterior insertion of dorsal fin (x),swimming,body shape,8.90,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXX,11260847,chrXX,11260235,,,,,associated marker ± 1 Mb,chrXX,10260235,chrXX,12260847,
736,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (defense),body shape:Dorsal extent of the ascending branch of the pelvis (y),Dorsal extent of the ascending branch of the pelvis (y),defence,body shape,4.30,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXX,11260847,chrXX,11260235,,,,,associated marker ± 1 Mb,chrXX,10260235,chrXX,12260847,
737,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (swimming),body shape:Posterior insertion of dorsal fin (y),Posterior insertion of dorsal fin (y),swimming,body shape,7.30,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXX,11260847,chrXX,11260235,,,,,associated marker ± 1 Mb,chrXX,10260235,chrXX,12260847,
738,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Anterior extent of maxilla (x),Anterior extent of maxilla (x),feeding,body shape,4.50,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXXI,8731909,chrXXI,8732077,,,,,associated marker ± 1 Mb,chrXXI,7731909,chrXXI,9732077,
739,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (defense),body shape:Anterior insertion of first dorsal spine (x),Anterior insertion of first dorsal spine (x),defence,body shape,11.60,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXXI,8731909,chrXXI,8732077,,,,,associated marker ± 1 Mb,chrXXI,7731909,chrXXI,9732077,
740,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,head shape,body shape:Posterior extent of premaxilla (y),Posterior extent of premaxilla (y),feeding,body shape,6.50,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXXI,8731909,chrXXI,8732077,,,,,associated marker ± 1 Mb,chrXXI,7731909,chrXXI,9732077,
741,QTL,QTL mapping,Albert et al. 2008,Japan marine female X BC Paxton benthic male cross,marine_freshwater,bodyshape,body shape (defense),body shape:Anterior insertion of second dorsal spine (y),Anterior insertion of second dorsal spine (y),defence,body shape,7.80,,,,,,"Linked Marker, Tab. S1, no confidence intervals",chrXXI,8731909,chrXXI,8732077,,,,,associated marker ± 1 Mb,chrXXI,7731909,chrXXI,9732077,
742,QTL,QTL mapping,Miller et al. 2007 Cell,Japan marine X Paxton benthic cross,marine_freshwater,pigmentation:lightgills,pigmentation,light gills map to a divergent regulatory allele of the Kit ligand (Kitlg) gene,Light gills map to a divergent regulatory allele of the Kit ligand (Kitlg) gene,camouflage,pigmentation,56.10,Kitlg,,,,,cis-regulatory changes different,chrXIX,14062272,chrXIX,14062055,,,,,associated marker ± 1 Mb,chrXIX,13062055,chrXIX,15062272,
743,QTL,QTL mapping,Greenwood et al. 2013 Current Biology,Japan marine male X BC Paxton benthic female cross,marine_benthic,schooling,schooling behavior,schooling: body orientation,Schooling: body orientation,mate choice,behavior and sensory system,10.40,,,,,,1.5-LOD region from Fig. 3A,chrIV,10812344,,,chrIV,4599765,chrIV,18561212,1.5-LOD region as reported,chrIV,4599765,chrIV,18561212,
744,QTL,QTL mapping,Greenwood et al. 2013 Current Biology,Japan marine male X BC Paxton benthic female cross,marine_benthic,schooling,schooling behavior,schooling: head x position,Schooling: head x position,mate choice,behavior and sensory system,13.50,,,,,,1.5-LOD region from Fig. 3A,chrIV,13850026,,,chrIV,8579158,chrIV,18561212,1.5-LOD region as reported,chrIV,8579158,chrIV,18561212,
745,QTL,QTL mapping,Greenwood et al. 2013 Current Biology,Japan marine male X BC Paxton benthic female cross,marine_benthic,schooling,schooling behavior,schooling: head x position,Schooling: head x position,mate choice,behavior and sensory system,7.10,,,,,,region is approximately 1.5-LOD confidence interval based on candidate genes in Tab. S1,chrXVII,9466777,,,chrXVII,1764876,chrXVII,18166004,1.5-LOD region as reported,chrXVII,1764876,chrXVII,18166004,
746,QTL,QTL mapping,Greenwood et al. 2013 Current Biology,Japan marine male X BC Paxton benthic female cross,marine_benthic,schooling,schooling behavior,schooling: head y position,Schooling: head y position,mate choice,behavior and sensory system,6.60,,,,,,"suggestive QTL (p<0.1), confidence intervals not reported",chrXX,655684,,,,,,,associated marker ± 1 Mb,chrXX,1,chrXX,1655684,
747,QTL,QTL mapping,Greenwood et al. 2013 Current Biology,Japan marine male X BC Paxton benthic female cross,marine_benthic,schooling,schooling behavior,schooling: latency,Schooling: latency,mate choice,behavior and sensory system,6.30,,,,,,"suggestive QTL (p<0.1), confidence intervals not reported",chrXX,5101904,,,,,,,associated marker ± 1 Mb,chrXX,4101904,chrXX,6101904,
748,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number mandibular,Lateral line: neuromast number mandibular,mate choice,behavior and sensory system,8.70,,,,,,no confidence interval reported,chrV,11167732,,,,,,,associated marker ± 1 Mb,chrV,10167732,chrV,12167732,
749,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number mandibular,Lateral line: neuromast number mandibular,mate choice,behavior and sensory system,8.70,,,,,,no confidence interval reported,chrV,11164624,,,,,,,associated marker ± 1 Mb,chrV,10164624,chrV,12164624,
750,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number supraorbital,Lateral line: neuromast number supraorbital,mate choice,behavior and sensory system,8.90,,,,,,no confidence interval reported,chrVIII,13642551,,,,,,,associated marker ± 1 Mb,chrVIII,12642551,chrVIII,14642551,
751,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number oral,Lateral line: neuromast number oral,mate choice,behavior and sensory system,7.90,,,,,,no confidence interval reported,chrXI,6220992,,,,,,,associated marker ± 1 Mb,chrXI,5220992,chrXI,7220992,
752,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number oral,Lateral line: neuromast number oral,mate choice,behavior and sensory system,7.90,,,,,,no confidence interval reported,chrXI,6593910,,,,,,,associated marker ± 1 Mb,chrXI,5593910,chrXI,7593910,
753,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number supratemporal,Lateral line: neuromast number supratemporal,mate choice,behavior and sensory system,11.80,,,,,,95% CI region from Fig. 3A in Greenwood et al. 2013 Current Biology,chrIV,18561212,,,chrIV,8579158,chrIV,30113912,95% confidence interval as reported,chrIV,8579158,chrIV,30113912,
754,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number supratemporal,Lateral line: neuromast number supratemporal,mate choice,behavior and sensory system,10.00,,,,,,no confidence interval reported,chrV,11281360,,,,,,,associated marker ± 1 Mb,chrV,10281360,chrV,12281360,
755,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number supratemporal,Lateral line: neuromast number supratemporal,mate choice,behavior and sensory system,11.70,,,,,,no confidence interval reported,chrXII,6584092,,,,,,,associated marker ± 1 Mb,chrXII,5584092,chrXII,7584092,
756,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number supratemporal,Lateral line: neuromast number supratemporal,mate choice,behavior and sensory system,11.70,,,,,,no confidence interval reported,chrXII,6576722,,,,,,,associated marker ± 1 Mb,chrXII,5576722,chrXII,7576722,
757,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number main trunk line anterior,Lateral line: neuromast number main trunk line anterior,mate choice,behavior and sensory system,8.70,,,,,,no confidence interval reported,chrXI,9787425,,,,,,,associated marker ± 1 Mb,chrXI,8787425,chrXI,10787425,
758,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number main trunk line anterior,Lateral line: neuromast number main trunk line anterior,mate choice,behavior and sensory system,13.90,,,,,,no confidence interval reported,chrXIII,17896505,,,,,,,associated marker ± 1 Mb,chrXIII,16896505,chrXIII,18896505,
759,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number main trunk line posterior,Lateral line: neuromast number main trunk line posterior,mate choice,behavior and sensory system,36.00,,,,,,no confidence interval reported,chrXXI,12048587,,,,,,,associated marker ± 1 Mb,chrXXI,11048587,chrXXI,13048587,
760,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast number caudal fin,Lateral line: neuromast number caudal fin,mate choice,behavior and sensory system,15.00,,,,,,no confidence interval reported,chrXI,9787425,,,,,,,associated marker ± 1 Mb,chrXI,8787425,chrXI,10787425,
761,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastsno,lateral line,lateral line: neuromast total number,Lateral line: neuromast total number,mate choice,behavior and sensory system,10.90,,,,,,no confidence interval reported,chrV,13838853,,,,,,,associated marker ± 1 Mb,chrV,12838853,chrV,14838853,
762,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastpattern,lateral line,lateral line: neuromast pattern main trunk line anterior,Lateral line: neuromast pattern main trunk line anterior,mate choice,behavior and sensory system,39.60,,,,,,no confidence interval reported,chrXXI,8148735,,,,,,,associated marker ± 1 Mb,chrXXI,7148735,chrXXI,9148735,
763,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastpattern,lateral line,lateral line: neuromast pattern main trunk line anterior,Lateral line: neuromast pattern main trunk line anterior,mate choice,behavior and sensory system,39.60,,,,,,no confidence interval reported,chrXXI,8644553,,,,,,,associated marker ± 1 Mb,chrXXI,7644553,chrXXI,9644553,
764,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastpattern,lateral line,lateral line: neuromast pattern main trunk line posterior,Lateral line: neuromast pattern main trunk line posterior,mate choice,behavior and sensory system,64.80,,,,,,95% CI region from Fig. 3A in Greenwood et al. 2013 Current Biology,chrIV,12817401,,,chrIV,10812344,chrIV,13850026,95% confidence interval as reported,chrIV,10812344,chrIV,13850026,
765,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastpattern,lateral line,lateral line: neuromast pattern main trunk line posterior,Lateral line: neuromast pattern main trunk line posterior,mate choice,behavior and sensory system,12.80,,,,,,no confidence interval reported,chrXXI,8644553,,,,,,,associated marker ± 1 Mb,chrXXI,7644553,chrXXI,9644553,
766,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:neuromastpattern,lateral line,lateral line: neuromast pattern main trunk line posterior (plates only),Lateral line: neuromast pattern main trunk line posterior (plates only),mate choice,behavior and sensory system,25.30,,,,,,no confidence interval reported,chrXXI,8644553,,,,,,,associated marker ± 1 Mb,chrXXI,7644553,chrXXI,9644553,
767,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:grooves,lateral line,lateral line: skeletal traits grooves,Lateral line: skeletal traits grooves,mate choice,behavior and sensory system,9.10,,,,,,no confidence interval reported,chrXXI,9860664,,,,,,,associated marker ± 1 Mb,chrXXI,8860664,chrXXI,10860664,
768,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:grooves,lateral line,lateral line: skeletal traits grooves,Lateral line: skeletal traits grooves,mate choice,behavior and sensory system,9.10,,,,,,no confidence interval reported,chrXXI,9937251,,,,,,,associated marker ± 1 Mb,chrXXI,8937251,chrXXI,10937251,
769,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,lateralline:grooves,lateral line,lateral line: skeletal traits grooves,Lateral line: skeletal traits grooves,mate choice,behavior and sensory system,9.10,,,,,,no confidence interval reported,chrXXI,11146326,,,,,,,associated marker ± 1 Mb,chrXXI,10146326,chrXXI,12146326,
770,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,platenoanterior,lateral plate number,lateral line: skeletal traits main trunk line anterior plates,Lateral line: skeletal traits main trunk line anterior plates,defence,defence,53.60,,,,,,no confidence interval reported,chrIV,12817401,,,,,,,associated marker ± 1 Mb,chrIV,11817401,chrIV,13817401,
771,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,platenoanterior,lateral plate number,lateral line: skeletal traits main trunk line anterior plates,Lateral line: skeletal traits main trunk line anterior plates,defence,defence,16.00,,,,,,no confidence interval reported,chrXXI,8644553,,,,,,,associated marker ± 1 Mb,chrXXI,7644553,chrXXI,9644553,
772,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,platenoposterior,lateral plate number,lateral line: skeletal traits main trunk line posterior plates,lateral line: skeletal traits main trunk line posterior plates,defence,defence,79.50,,,,,,95% CI region from Fig. 3A in Greenwood et al. 2013 Current Biology,chrIV,12817401,,,chrIV,10812344,chrIV,13850026,95% confidence interval as reported,chrIV,10812344,chrIV,13850026,
773,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,platenoposterior,lateral plate number,lateral line: skeletal traits main trunk line posterior plates,Lateral line: skeletal traits main trunk line posterior plates,defence,defence,12.50,,,,,,no confidence interval reported,chrXXI,8644553,,,,,,,associated marker ± 1 Mb,chrXXI,7644553,chrXXI,9644553,
774,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,plateno,lateral plate number,lateral line: skeletal traits total plates,Lateral line: skeletal traits total plates,defence,defence,80.00,,,,,,no confidence interval reported,chrIV,12817401,,,,,,,associated marker ± 1 Mb,chrIV,11817401,chrIV,13817401,
775,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,plateno,lateral plate number,lateral line: skeletal traits total plates,Lateral line: skeletal traits total plates,defence,defence,13.30,,,,,,no confidence interval reported,chrXXI,8644553,,,,,,,associated marker ± 1 Mb,chrXXI,7644553,chrXXI,9644553,
776,QTL,QTL mapping,Wark et al. 2012 G3,Japan marine X Paxton benthic cross,marine_freshwater,pelvicmorph,pelvis loss,lateral line: skeletal traits pelvis,Lateral line: skeletal traits pelvis,defence,defence,65.60,,,,,,no confidence interval reported,chrVII,30669969,,,,,,,associated marker ± 1 Mb,chrVII,29669969,chrVII,30850397,
777,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,malecolor,male coloration,color males,Color males,vision,pigmentation,20.00,,,,,,PVE approximately for all color loci combined,chrI,7567439,chrI,7567537,,,,,associated marker ± 1 Mb,chrI,6567439,chrI,8567537,
778,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,maleshape,body shape (swimming),shape males,Shape males,swimming,body shape,4.25,,,,,,,chrI,7567439,chrI,7567537,,,,,associated marker ± 1 Mb,chrI,6567439,chrI,8567537,
779,Outlier region,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,diagnostimarkerLB,,species diagnostic marker,Species diagnostic marker,outlier,,,,,,,,,chrII,13733745,chrII,13733964,,,,,outlier microsat ± 1 Mb,chrII,12733745,chrII,14733964,
780,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,malecolor,male coloration,color males,Color males,vision,pigmentation,20.00,,,,,,"microsat not in reference, region from neighbors in genetic map (stn42 and stn46), PVE approximately for all color loci combined",,,,,chrIV,6107609,chrIV,15232282,associated marker ± 1 Mb,chrIV,5107609,chrIV,16232282,
781,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,maleshape,body shape (swimming),shape males,Shape males,swimming,body shape,6.56,,,,,,"microsat not in reference, region from neighbors in genetic map (stn42 and stn46)",,,,,chrIV,6107609,chrIV,15232282,associated marker ± 1 Mb,chrIV,5107609,chrIV,16232282,
782,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,malecolor,male coloration,color males,Color males,vision,pigmentation,20.00,,,,,,PVE approximately for all color loci combined,chrIV,15232047,chrIV,15232282,,,,,associated marker ± 1 Mb,chrIV,14232047,chrIV,16232282,
783,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,maleshape,body shape (swimming),shape males,Shape males,swimming,body shape,5.33,,,,,,,chrIV,15232047,chrIV,15232282,,,,,associated marker ± 1 Mb,chrIV,14232047,chrIV,16232282,
784,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,malecolor,male coloration,color males,Color males,vision,pigmentation,20.00,,,,,,PVE approximately for all color loci combined,chrIV,21891138,chrIV,21890975,,,,,associated marker ± 1 Mb,chrIV,20890975,chrIV,22891138,
785,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,maleshape,body shape (swimming),shape males,Shape males,swimming,body shape,4.02,,,,,,,chrIV,21891138,chrIV,21890975,,,,,associated marker ± 1 Mb,chrIV,20890975,chrIV,22891138,
786,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,malecolor,male coloration,color males,Color males,vision,pigmentation,20.00,,,,,,PVE approximately for all color loci combined,chrVII,8007487,chrVII,8007672,,,,,associated marker ± 1 Mb,chrVII,7007487,chrVII,9007672,
787,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,maleshape,body shape (swimming),shape males,Shape males,swimming,body shape,4.75,,,,,,,chrVII,8007487,chrVII,8007672,,,,,associated marker ± 1 Mb,chrVII,7007487,chrVII,9007672,
788,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,malecolor,male coloration,color males,Color males,vision,pigmentation,20.00,,,,,,PVE approximately for all color loci combined,chrVII,16316216,chrVII,16316785,,,,,associated marker ± 1 Mb,chrVII,15316216,chrVII,17316785,
789,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,maleshape,body shape (swimming),shape males,Shape males,swimming,body shape,4.64,,,,,,,chrVII,16316216,chrVII,16316785,,,,,associated marker ± 1 Mb,chrVII,15316216,chrVII,17316785,
790,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,malecolor,male coloration,color males,Color males,vision,pigmentation,20.00,,,,,,PVE approximately for all color loci combined,chrVII,22460023,chrVII,22460577,,,,,associated marker ± 1 Mb,chrVII,21460023,chrVII,23460577,
791,QTL,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,maleshape,body shape (swimming),shape males,Shape males,swimming,body shape,6.14,,,,,,,chrVII,22460023,chrVII,22460577,,,,,associated marker ± 1 Mb,chrVII,21460023,chrVII,23460577,
792,Outlier region,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,diagnostimarkerLB,,species diagnostic marker,Species diagnostic marker,outlier,,,,,,,,,chrXII,8632417,chrXII,8631827,,,,,outlier microsat ± 1 Mb,chrXII,7631827,chrXII,9632417,
793,Outlier region,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,diagnostimarkerLB,,species diagnostic marker,Species diagnostic marker,outlier,,,,,,,,,chrXIX,5053368,chrXIX,5052708,,,,,outlier microsat ± 1 Mb,chrXIX,4052708,chrXIX,6053368,
794,Outlier region,admixture mapping,Malek et al. 2012 Molecular Ecology,Enos Lake BC collapsed limnetic-benthic,benthic_limnetic,diagnostimarkerLB,,species diagnostic marker,Species diagnostic marker,outlier,,,,,,,,,chrXX,11260847,chrXX,4830764,,,,,outlier microsat ± 1 Mb,chrXX,3830764,chrXX,12260847,
795,Expression outlier,differential expression analysis,Greenwood et al. 2012 Evolution & Development,"Hotel lake BC, Little Campbell river anadromous BC, cross",marine_freshwater,darkbarexpression,,patterning: higher expressed in dark bars,Patterning: higher expressed in dark bars,camouflage,,,Novel gene,,ENSGACG00000000005,,,transcribed sequence,chrUn,2027668,chrUn,2028826,,,,,full gene length ± 10 kb both sides,chrUn,2017668,chrUn,2038826,1
796,Expression outlier,differential expression analysis,Greenwood et al. 2012 Evolution & Development,"Hotel lake BC, Little Campbell river anadromous BC, cross",marine_freshwater,darkbarexpression,,patterning: higher expressed in dark bars,Patterning: higher expressed in dark bars,camouflage,,,Novel gene,,ENSGACG00000000052,,,transcribed sequence,chrUn,23959887,chrUn,23960860,,,,,full gene length ± 10 kb both sides,chrUn,23949887,chrUn,23970860,1
